Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against,Total Players,Average Age,Cap Space,Total Cap,Long0term IR,Active,Injured
Colorado Avalanche,2014,82.0,39.0,31.0,12.0,90.0,0.549,209.0,223.0,54,28.1,864837,68135163,0.0,63375057,2250000.0
Edmonton Oilers,2014,82.0,24.0,44.0,14.0,62.0,0.378,193.0,276.0,54,26.2,6092702,62907298,0.0,58189315,0.0
Vancouver Canucks,2014,82.0,48.0,29.0,5.0,101.0,0.616,236.0,220.0,59,28.1,2761943,66238057,0.0,65215478,0.0
Anaheim Ducks,2014,82.0,51.0,24.0,7.0,109.0,0.665,228.0,221.0,59,25.4,5948693,63051307,0.0,52482919,0.0
Dallas Stars,2014,82.0,41.0,31.0,10.0,92.0,0.561,257.0,257.0,59,27.5,3962465,65037535,0.0,56002569,3250000.0
Los Angeles Kings,2014,82.0,40.0,27.0,15.0,95.0,0.579,218.0,197.0,48,27.2,3092974,65907026,0.0,65907026,0.0
San Jose Sharks,2014,82.0,40.0,33.0,9.0,89.0,0.543,224.0,226.0,53,27.4,8333891,60666109,0.0,53416316,1520000.0
Columbus Blue Jackets,2014,82.0,42.0,35.0,5.0,89.0,0.543,227.0,248.0,57,26.0,8134823,60865177,0.0,49892451,0.0
Minnesota Wild,2014,82.0,46.0,28.0,8.0,100.0,0.61,227.0,198.0,51,27.5,3825704,65174296,0.0,63829807,0.0
Winnipeg Jets,2014,82.0,43.0,26.0,13.0,99.0,0.604,223.0,204.0,54,26.1,5677426,63322574,0.0,53589243,2066667.0
Arizona Coyotes,2014,82.0,24.0,50.0,8.0,56.0,0.341,165.0,267.0,59,26.9,17491134,51508866,0.0,40488426,0.0
New Jersey Devils,2015,82.0,38.0,36.0,8.0,84.0,0.512,182.0,202.0,58,27.7,8202540,63197460,0.0,44724567,5800000.0
New York Islanders,2015,82.0,45.0,27.0,10.0,100.0,0.61,227.0,211.0,53,26.8,6145985,65254015,0.0,64959529,0.0
New York Rangers,2015,82.0,46.0,27.0,9.0,101.0,0.616,233.0,215.0,53,28.0,4861193,76261193,0.0,75318757,0.0
Philadelphia Flyers,2015,82.0,41.0,27.0,14.0,96.0,0.585,211.0,210.0,58,27.4,2343307,69056693,0.0,60631693,3875000.0
Pittsburgh Penguins,2015,82.0,48.0,26.0,8.0,104.0,0.634,241.0,199.0,51,26.7,0,74775446,3375446.0,58603572,10236074.0
Boston Bruins,2015,82.0,42.0,31.0,9.0,93.0,0.567,236.0,228.0,54,27.7,1921305,69478695,0.0,61395382,3000000.0
Buffalo Sabres,2015,82.0,35.0,36.0,11.0,81.0,0.494,199.0,215.0,55,25.5,9380296,62019704,0.0,50143098,6100000.0
Montréal Canadiens,2015,82.0,38.0,38.0,6.0,82.0,0.5,216.0,233.0,59,25.8,538679,71938679,0.0,50549811,14800000.0
Ottawa Senators,2015,82.0,38.0,35.0,9.0,85.0,0.518,230.0,241.0,52,26.4,5949496,65450504,0.0,50417900,7150000.0
Toronto Maple Leafs,2015,82.0,29.0,42.0,11.0,69.0,0.421,192.0,240.0,64,27.7,0,73041937,1641937.0,34820590,12500000.0
Carolina Hurricanes,2015,82.0,35.0,31.0,16.0,86.0,0.524,196.0,221.0,54,25.3,14089262,57310738,0.0,38031076,5500000.0
Florida Panthers,2015,82.0,47.0,26.0,9.0,103.0,0.628,232.0,200.0,53,27.5,2312255,69087745,0.0,50041787,9750000.0
Tampa Bay Lightning,2015,82.0,46.0,31.0,5.0,97.0,0.591,224.0,198.0,52,26.4,0,72843083,1443083.0,67598440,0.0
Washington Capitals,2015,82.0,56.0,18.0,8.0,120.0,0.732,248.0,191.0,52,27.3,996120,70403880,0.0,66710351,0.0
Chicago Blackhawks,2015,82.0,47.0,26.0,9.0,103.0,0.628,234.0,207.0,50,27.9,131510,71531510,0.0,65167788,0.0
Detroit Red Wings,2015,82.0,41.0,30.0,11.0,93.0,0.567,209.0,219.0,52,27.5,517377,70882623,0.0,63865064,0.0
Nashville Predators,2015,82.0,41.0,27.0,14.0,96.0,0.585,224.0,213.0,55,27.0,10221055,61178945,0.0,59358663,0.0
St. Louis Blues,2015,82.0,49.0,24.0,9.0,107.0,0.652,219.0,197.0,55,27.3,231833,71168167,0.0,70735352,0.0
Calgary Flames,2015,82.0,35.0,40.0,7.0,77.0,0.47,229.0,257.0,55,27.1,3829743,67570257,0.0,48605554,7300000.0
